temperture5am,temperture6am,temperture7am,temperture8am,windSpeed5am,windSpeed6am,windSpeed7am,windSpeed8am,humidity5am,humidity6am,humidity7am,humidity8am,gradeWithSec,sector1,sector2,gender_age_interaction_女_17~19歲,gender_age_interaction_女_20~29歲,gender_age_interaction_女_30~39歲,gender_age_interaction_女_40~49歲,gender_age_interaction_女_50~59歲,gender_age_interaction_女_60歲以上,gender_age_interaction_男_17~19歲,gender_age_interaction_男_20~29歲,gender_age_interaction_男_30~39歲,gender_age_interaction_男_40~49歲,gender_age_interaction_男_50~59歲,gender_age_interaction_男_60~69歲,gender_age_interaction_男_70歲以上,sector1_2_total,sector2_pace_change
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5132,241,244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,485,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5012,253,244,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,497,-9
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5141,234,237,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,471,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5149,222,228,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,450,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5173,249,248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,497,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5173,244,246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,490,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5183,230,239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,469,9
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5187,244,245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,489,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5189,243,245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,488,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5195,245,246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,491,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5210,222,230,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,452,8
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5236,242,243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,485,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5250,246,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,495,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5265,239,241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,480,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5273,247,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,496,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5280,247,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,496,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5267,245,246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,491,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5294,249,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,498,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5295,248,249,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,497,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5239,246,248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,494,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5314,252,253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,505,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5317,248,252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,500,4
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5336,246,248,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,494,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5346,249,252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,501,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5342,252,254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,506,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5355,252,253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,505,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5353,252,253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,505,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5349,255,257,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,512,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5376,256,258,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,514,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5376,247,250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,497,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5363,248,250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,498,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5370,261,258,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,519,-3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5388,251,253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,504,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5390,253,255,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,508,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5432,257,257,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,514,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5440,258,259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,517,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5455,248,254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,502,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5460,257,259,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,516,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5514,252,256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,508,4
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5517,255,257,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,512,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5540,260,260,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,520,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5547,260,262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,522,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5564,248,254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,502,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5557,254,260,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,514,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5506,260,263,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,523,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5569,258,262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,520,4
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5555,254,260,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,514,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5567,256,260,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,516,4
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5577,264,264,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,528,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5579,261,262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,523,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5524,249,254,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,503,5
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5580,255,261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,516,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5575,256,262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,518,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5571,269,268,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,537,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5590,269,271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,540,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5610,266,266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,532,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5591,262,263,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,525,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5608,244,253,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,497,9
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5625,250,261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,511,11
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5629,256,263,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,519,7
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5621,272,271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,543,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5647,253,266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,519,13
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5648,265,265,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,530,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5637,268,267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,535,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5656,271,272,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,543,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5675,271,272,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,543,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5548,269,268,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,537,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5685,255,261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,516,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5710,268,270,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,538,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5712,266,267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,533,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5733,261,264,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,525,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5739,269,271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,540,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5749,269,271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,540,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5741,275,277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,552,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5740,278,277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,555,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5752,270,272,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,542,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5449,274,266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,540,-8
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5754,269,271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,540,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5809,268,271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,539,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5815,256,266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,522,10
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5599,268,267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,535,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5808,281,280,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,561,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5849,262,273,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,535,11
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5845,266,271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,537,5
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5841,268,271,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,539,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5873,290,284,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,574,-6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5877,280,282,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,562,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5876,276,279,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,555,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5881,272,278,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,550,6
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5884,276,279,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,555,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5891,273,274,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,547,1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5897,282,282,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,564,0
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5903,280,279,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,559,-1
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5910,277,280,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,557,3
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5941,270,275,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,545,5
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5937,281,285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,566,4
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5866,276,278,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,554,2
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5939,281,285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,566,4
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5936,260,270,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,530,10
14.6,14.4,14.1,15.3,3.1,2.5,3.3,2.7,77,80,74,66,5925,278,283,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,561,5
